preds_list2[[1]]$genes	1	prob_lda	prob_svm	prob_logit	pred_lda	pred_svm	pred_logit
LOC_Os04g53240	0	0.754178243	0.39645038	0.000190107	0	0	1
LOC_Os01g32800	0	0.552032181	0.534900184	0.991307733	0	0	0
LOC_Os06g45020	0	0.911994473	0.209384651	0.996212889	0	0	0
LOC_Os02g29480	0	0.028562799	0.462810158	0.985790949	1	0	0
LOC_Os05g30800	0	0.022171237	0.360197699	1	1	0	0
LOC_Os02g51180	0	0.991732787	0.180267121	2.22E-16	0	0	1
LOC_Os01g62290	0	0.273223165	0.791492707	0.99330081	0	0	0
LOC_Os04g35890	0	0.965809662	0.148324409	0.046130673	0	0	1
LOC_Os02g20850	0	0.905718533	0.308476292	2.22E-16	0	0	1
LOC_Os02g40880	0	0.959349597	0.156304013	0.98361177	0	0	0
LOC_Os10g38950	0	0.145015594	0.579542624	0.694111402	0	0	0
LOC_Os11g01380	0	0.999291213	0.196495321	0.975231556	0	0	0
LOC_Os05g48980	0	0.843512783	0.498002358	0.457151406	0	0	0
LOC_Os03g16110	0	0.998665568	0.341937863	0.961968689	0	0	0
LOC_Os06g17285	0	0.504611286	0.212756307	0.824210664	0	0	0
LOC_Os05g06350	0	0.017842147	0.477629446	0.988359781	1	0	0
LOC_Os03g46390	0	0.995424462	0.308667374	2.22E-16	0	0	1
LOC_Os06g35530	0	0.226104132	0.274471885	0.948500578	0	0	0
LOC_Os05g44050	0	0.998512384	0.125375422	2.22E-16	0	0	1
LOC_Os03g45270	0	0.696567145	0.615890874	0.799819407	0	0	0
LOC_Os02g57080	0	0.936649609	0.107021526	0.051454393	0	0	1
LOC_Os06g37180	1	0.25296583	0.901312536	0.916742204	0	0	0
LOC_Os10g30520	0	0.994181971	0.200261745	2.22E-16	0	0	1
LOC_Os06g38470	0	0.760953418	0.31704437	0.181448436	0	0	0
LOC_Os05g01600	0	0.107759301	0.785078702	1	0	0	0
LOC_Os03g26460	0	0.613237051	0.622110277	0.961985763	0	0	0
LOC_Os07g09680	0	0.999535503	0.093715475	2.22E-16	0	1	1
LOC_Os05g01020	0	0.627066601	0.225969556	0.024011398	0	0	1
LOC_Os01g16960	0	0.996721443	0.49051225	4.69E-10	0	0	1
LOC_Os04g43150	0	0.021640205	0.46143371	0.9999	1	0	0
LOC_Os04g47240	0	0.998614746	0.110194078	0.313049689	0	0	0
LOC_Os01g51700	0	0.999563455	0.138930641	2.22E-16	0	0	1
LOC_Os08g07400	0	0.994694271	0.212213869	0.009879078	0	0	1
LOC_Os05g49890	0	0.791418296	0.330443958	0.012711743	0	0	1
LOC_Os01g08450	0	0.736444933	0.171455166	0.249429023	0	0	0
LOC_Os09g19700	0	0.998678778	0.136725545	0.000300046	0	0	1
LOC_Os12g01390	0	0.990602305	0.197275964	0.525546974	0	0	0
LOC_Os08g15040	0	0.999871251	0.058872636	2.22E-16	0	1	1
LOC_Os05g23600	0	0.987839672	0.079499555	0.572274714	0	1	0
