gene,status,prob_rf,prob_logit_Ada,pred_rf,pred_logit_PR,SUM_PR
LOC_Os11g05730,0,0.501423,0.592759654,0,0,0
LOC_Os03g52650,0,0.449931,0.026595778,0,0,0
LOC_Os01g45380,0,0.526762,2.22E-16,0,0,0
LOC_Os04g33950,0,0.447488,0.786077263,0,0,0
LOC_Os04g42010,0,0.51688,0.024339253,0,0,0
LOC_Os05g36960,0,0.512328,0.274869147,0,0,0
LOC_Os03g06670,0,0.499742,0.388103363,0,0,0
LOC_Os04g45040,0,0.484337,0.711619091,0,0,0
LOC_Os03g17980,0,0.491253,0.274580089,0,0,0
LOC_Os02g13530,0,0.438462,0.025020267,0,0,0
LOC_Os05g04340,0,0.529266,0.99744792,0,1,1
LOC_Os07g36130,0,0.543324,0.98987495,0,1,1
LOC_Os03g59050,0,0.486468,0.992009334,0,1,1
LOC_Os01g43540,0,0.541246,0.998900146,0,1,1
LOC_Os08g38560,0,0.651042,2.22E-16,0,0,0
LOC_Os05g41220,0,0.494084,2.22E-16,0,0,0
LOC_Os10g36710,0,0.536414,0.131527058,0,0,0
LOC_Os02g14000,0,0.485954,1,0,1,1
LOC_Os01g71960,0,0.497832,0.0001,0,0,0
LOC_Os10g31830,0,0.475937,0.001000055,0,0,0
LOC_Os06g29120,0,0.549984,2.22E-16,0,0,0
LOC_Os07g44040,0,0.482241,2.22E-16,0,0,0
LOC_Os01g38950,0,0.490231,0.009291786,0,0,0
LOC_Os05g48810,0,0.469627,0.020279455,0,0,0
LOC_Os05g03630,0,0.47293,0.218426417,0,0,0
LOC_Os06g37440,0,0.446816,0.057005559,0,0,0
LOC_Os01g01740,0,0.487761,2.22E-16,0,0,0
LOC_Os07g32800,0,0.473143,0.000280405,0,0,0
LOC_Os01g56550,0,0.500557,0.014795328,0,0,0
LOC_Os03g53080,0,0.592232,0.098485777,0,0,0
LOC_Os01g14932,0,0.539739,0.004259076,0,0,0
LOC_Os11g09280,1,0.828854,0.966385601,1,1,2
LOC_Os05g07820,0,0.491717,2.22E-16,0,0,0
LOC_Os01g48280,0,0.47306,0.030713698,0,0,0
LOC_Os06g02570,0,0.491902,0.000705426,0,0,0
LOC_Os05g30530,0,0.604076,0.999899883,0,1,1
LOC_Os07g07250,0,0.503226,0.794475048,0,0,0
LOC_Os02g30050,0,0.526854,0.023471577,0,0,0
LOC_Os05g32360,0,0.572967,0.039997968,0,0,0
LOC_Os02g26160,0,0.551825,0.288456624,0,0,0
LOC_Os01g69850,0,0.513486,0.455702567,0,0,0
LOC_Os02g12794,0,0.478678,0.636479299,0,0,0
LOC_Os02g33140,0,0.516967,0.465540821,0,0,0
LOC_Os02g22140,0,0.477266,0.050212471,0,0,0
LOC_Os01g66020,0,0.515524,0.33097544,0,0,0
LOC_Os05g20050,0,0.492531,0.04429795,0,0,0
LOC_Os05g27940,0,0.545988,0.892609807,0,1,1
LOC_Os05g38120,0,0.499814,0.5304591,0,0,0
LOC_Os09g15790,0,0.511752,0.074824248,0,0,0
LOC_Os09g30190,0,0.536431,2.22E-16,0,0,0
LOC_Os03g16130,0,0.518651,0.897184777,0,1,1
LOC_Os07g07000,0,0.520625,0.001655942,0,0,0
LOC_Os08g03160,0,0.51906,0.006002706,0,0,0
LOC_Os02g38340,0,0.501671,0.064497464,0,0,0
LOC_Os09g38020,0,0.58082,0.000401459,0,0,0
LOC_Os03g18570,1,0.803433,0.998452858,1,1,2
LOC_Os05g39090,0,0.519491,0.100350843,0,0,0
LOC_Os10g39410,1,0.820492,0.002042434,1,0,1
LOC_Os08g43370,0,0.438251,0.799989708,0,0,0
LOC_Os02g03610,0,0.478636,2.22E-16,0,0,0
LOC_Os03g22610,0,0.467153,0.021806644,0,0,0
LOC_Os03g60600,0,0.462121,0.986899009,0,1,1
LOC_Os07g07240,0,0.476479,0.751504553,0,0,0
LOC_Os04g25550,0,0.47587,0.128959285,0,0,0
LOC_Os01g12730,0,0.521233,2.22E-16,0,0,0
LOC_Os01g62840,0,0.454047,0.691528503,0,0,0
LOC_Os03g18580,0,0.517579,0.761962276,0,0,0
LOC_Os10g37480,0,0.51508,2.22E-16,0,0,0
LOC_Os02g54700,0,0.504888,0.028101551,0,0,0
LOC_Os08g22864,0,0.460643,2.22E-16,0,0,0
LOC_Os03g05760,0,0.519975,0.962424655,0,1,1
LOC_Os08g39140,0,0.43191,0.962850444,0,1,1
LOC_Os04g04330,0,0.498169,2.22E-16,0,0,0
LOC_Os02g28810,0,0.432955,1,0,1,1
LOC_Os11g38670,0,0.493164,0.337034287,0,0,0
LOC_Os06g07200,0,0.508818,0.20798879,0,0,0
LOC_Os07g41800,0,0.415288,0.000183934,0,0,0
LOC_Os02g01560,0,0.511839,0.622882583,0,0,0
LOC_Os07g41750,0,0.512562,0.906118223,0,1,1
LOC_Os11g26910,0,0.496776,0.00945656,0,0,0
LOC_Os03g05980,0,0.496842,1,0,1,1
LOC_Os02g34940,0,0.511254,0.982601825,0,1,1
LOC_Os11g11390,0,0.515885,1,0,1,1
LOC_Os02g57220,0,0.487746,0.942823022,0,1,1
LOC_Os02g02140,0,0.48035,0.004778094,0,0,0
LOC_Os05g06450,0,0.504582,0.010277466,0,0,0
LOC_Os03g04970,0,0.493531,0.224010061,0,0,0
LOC_Os03g55560,0,0.498958,2.22E-16,0,0,0
